A	76240
A	43936
A	69627
A	40318
A	39317
A	27500
A	48681
A	42542
A	37892
A	31467
B1	190054
B2	6465
B1	64817
B2	490
B1	16408
B2	85557
B1	159362
B2	103130
B1	57749
B2	140213
B1	188591
B2	39360
B1	49348
B2	141612
B1	45528
B2	3503
B1	31101
B2	34917
B1	34541
B2	16805
C1	119164
C2	1094
C3	703
C4	409
C1	140484
C2	51748
C3	184939
C4	125124
C1	5832
C2	137979
C3	667
C4	82688
C1	105569
C2	1084
C3	989
C4	40785
C1	184637
C2	20077
C3	37721
C4	89061
C1	52681
C2	153455
C3	794
C4	2247
C1	14124
C2	41805
C3	1647
C4	37174
C1	4048
C2	31287
C3	13916
C4	10377
C1	2394
C2	45330
C3	870
C4	3710
C1	36843
C2	120
C3	37357
C4	28201
D1	3027
D2	32308
D3	41419
D4	54215
D5	60454
D6	66298
D7	30049
D8	52701
D1	178104
D2	138053
D3	915
D4	107177
D5	2077
D6	95053
D7	23926
D8	3696
D1	59874
D2	41015
D3	126165
D4	84338
D5	28637
D6	42362
D7	48212
D8	24005
D1	52790
D2	34056
D3	28264
D4	176217
D5	93349
D6	117817
D7	45240
D8	69783
D1	97216
D2	61028
D3	85719
D4	115052
D5	1359
D6	137050
D7	104785
D8	41020
D1	83058
D2	2174
D3	46572
D4	80804
D5	119297
D6	62448
D7	2231
D8	4739
D1	48251
D2	173385
D3	78188
D4	153035
D5	89151
D6	123604
D7	31958
D8	150358
D1	35780
D2	119919
D3	913
D4	181020
D5	2022
D6	172153
D7	98951
D8	182993
D1	94239
D2	40097
D3	93355
D4	5093
D5	37700
D6	62359
D7	162229
D8	136253
D1	11332
D2	15530
D3	1707
D4	46488
D5	33380
D6	12573
D7	30316
D8	80489
E1	93384
E2	79151
E3	186630
E4	126876
E5	82528
E6	32917
E1	1284
E2	37952
E3	50167
E4	71380
E5	169297
E6	94605
E1	273
E2	160072
E3	132303
E4	62763
E5	170321
E6	127600
E1	43598
E2	58836
E3	69756
E4	180064
E5	75963
E6	93985
E1	90975
E2	149148
E3	169451
E4	151931
E5	39678
E6	46653
E3	175921
E4	133804
E5	160466
E6	153802
